	id	state	county	population	poor_health	phys_unhealthy_days	ment_unhealthy_days	poverty	householdIncome	unemployment	illiteracy	highschoolGrad	someCollege	smoking	obesity	excessiveDrinking	rec.fac.rate	white_perc	black_perc	hispanic_perc	other_perc	age_14_under_perc	age_15_24_perc	age_25_44_perc	age_45_64_perc	age_65_over_perc	sti_rate	teen_birth_rate	%_uninsured_adults	no_diabetic	perc_healthy_food	total_pop	age_14_under	age_15_24	age_25_44	age_45_64	age_65_over	white	black	hispanic	other
1	1001	Alabama	Autauga	50354	26	5.2	4.1	10.4	51622	8.9	12.7	75	55.4	27	32	14	6	78.04	18.01	1.88	2.06	21.31	13.41	27.79	26.12	11.37	308	52	16	259	33	50364	10734	6756	13995	13154	5725	39304	9073	947	1040
2	1003	Alabama	Baldwin	176212	13	3.4	4.1	10.2	51957	8.8	10.6	70	61.5	22	26	19	12	85.15	9.94	2.88	2.04	19.31	11.87	26.77	25.69	16.36	226	50	21	902	55	174439	33679	20714	46696	44811	28539	148527	17342	5020	3550
3	1005	Alabama	Barbour	29836	24	5.9	3.9	22.1	30896	13	23.2	55	34.7	23	38	9	7	48.02	46.43	4.05	1.5	18.21	13.95	28.27	26.43	13.14	474	80	16	197	75	29309	5337	4090	8286	7746	3850	14074	13608	1186	441
4	1007	Alabama	Bibb	21589	18	4.4	5	16.8	41076	12	17.5	60	40.3	33	32	11	9	75.74	21.96	1.36	0.95	19.29	11.82	31.5	23.98	13.41	301	64	20	106	86	21629	4172	2557	6813	5187	2900	16381	4749	294	205
5	1009	Alabama	Blount	57794	25	5.5	4.8	11.9	46086	9.1	13.9	70	42.3	22	32	5	5	89.36	2.08	7.17	1.39	19.85	12.12	28.71	25.03	14.28	105	56	21	171	67	57441	11404	6963	16494	14378	8202	51332	1197	4116	796
6	1011	Alabama	Bullock	10921	NA	5.4	5.9	26.2	26980	14.3	34.2	65	30.7	NA	38	4	0	22.5	68.42	7.79	1.29	19.32	14.41	30.1	24.84	11.32	667	89	19	47	33	10796	2086	1556	3250	2682	1222	2429	7387	841	139
7	1013	Alabama	Butler	20171	22	3.9	3.2	20	31449	15.2	20.6	65	44.6	27	37	10	0	56.35	41.55	0.97	1.13	19.65	13.66	23.6	27.15	15.95	617	67	17	194	50	20090	3947	2744	4741	5454	3204	11320	8348	194	228
8	1015	Alabama	Calhoun	113422	23	5.1	4.8	16.4	39997	10.1	14.6	70	49.9	27	34	13	7	75.73	19.74	2.35	2.18	19.22	13.94	25.01	26.71	15.12	608	59	16	791	75	113419	21795	15808	28368	30296	17152	85891	22392	2665	2471
9	1017	Alabama	Chambers	34473	38	4.4	4.8	16.2	35614	18.2	20.2	60	43.7	20	36	11	6	59.97	37.68	1.23	1.12	18.94	11.88	25.31	27.42	16.46	613	70	15	314	100	34424	6520	4088	8712	9438	5666	20643	12970	424	387
10	1019	Alabama	Cherokee	24413	29	5.8	4.4	15.2	38028	10.7	16.4	65	40.1	26	32	15	8	91.89	5.43	1.26	1.41	17.33	10.17	26.52	27.18	18.81	155	67	19	191	50	24545	4253	2496	6509	6671	4616	22555	1334	309	347
