id	state	county	poor_health	poverty	illiteracy	highschoolGrad	someCollege	smoking	obesity	excessiveDrinking	rec.fac.rate	white_perc	black_perc	hispanic_perc	other_perc	age_14_under_perc	age_15_24_perc	age_25_44_perc	age_45_64_perc	age_65_over_perc	population	healthy_foods	unemployment
1001	Alabama	Autauga	26	10.4	12.7	75	55.4	27	32	14	6	78.04	18.01	1.88	2.06	21.31	13.41	27.79	26.12	11.37	50364	33	8.9
1003	Alabama	Baldwin	13	10.2	10.6	70	61.5	22	26	19	12	85.15	9.94	2.88	2.04	19.31	11.87	26.77	25.69	16.36	174439	55	8.8
1005	Alabama	Barbour	24	22.1	23.2	55	34.7	23	38	9	7	48.02	46.43	4.05	1.5	18.21	13.95	28.27	26.43	13.14	29309	75	13.0
1007	Alabama	Bibb	18	16.8	17.5	60	40.3	33	32	11	9	75.74	21.96	1.36	0.95	19.29	11.82	31.5	23.98	13.41	21629	86	12.0
1009	Alabama	Blount	25	11.9	13.9	70	42.3	22	32	5	5	89.36	2.08	7.17	1.39	19.85	12.12	28.71	25.03	14.28	57441	67	9.1
1011	Alabama	Bullock	NA	26.2	34.2	65	30.7	NA	38	4	0	22.5	68.42	7.79	1.29	19.32	14.41	30.1	24.84	11.32	10796	33	14.3
1013	Alabama	Butler	22	20	20.6	65	44.6	27	37	10	0	56.35	41.55	0.97	1.13	19.65	13.66	23.6	27.15	15.95	20090	50	15.2
1015	Alabama	Calhoun	23	16.4	14.6	70	49.9	27	34	13	7	75.73	19.74	2.35	2.18	19.22	13.94	25.01	26.71	15.12	113419	75	10.1
1017	Alabama	Chambers	38	16.2	20.2	60	43.7	20	36	11	6	59.97	37.68	1.23	1.12	18.94	11.88	25.31	27.42	16.46	34424	100	18.2
1019	Alabama	Cherokee	29	15.2	16.4	65	40.1	26	32	15	8	91.89	5.43	1.26	1.41	17.33	10.17	26.52	27.18	18.81	24545	50	10.7
1021	Alabama	Chilton	23	14.9	15.5	70	41.6	24	35	11	5	83.39	10.84	4.56	1.21	20.18	11.83	29.71	25.26	13.02	42444	86	9.6
1023	Alabama	Choctaw	30	18.7	22.5	70	35.7	19	37	8	0	55.1	43.24	0.88	0.78	18.21	12.37	22.94	28.61	17.88	14055	20	12.4
1025	Alabama	Clarke	28	19.2	20.8	65	42.2	22	36	14	4	54.61	43.47	0.89	1.03	19.99	12.9	24.95	26.56	15.6	26304	46	15.3
1027	Alabama	Clay	21	14	18.2	65	42.9	24	32	8	0	80.69	15.4	2.48	1.43	17.26	11.1	26.6	26.63	18.41	13809	50	15.3
1029	Alabama	Cleburne	26	14	16.7	75	33.9	22	29	11	0	92.32	4.22	2.18	1.27	18.57	12.13	27.17	26.54	15.6	14799	50	9.3
1031	Alabama	Coffee	21	13.7	13.4	80	56.3	21	33	15	10	74.26	17.78	4.32	3.65	19.68	12.49	26.99	26.27	14.57	47753	40	7.8
1033	Alabama	Colbert	23	14	14.6	70	53.4	30	35	8	5	80.46	16.34	1.53	1.66	17.73	12.29	25.55	27.61	16.82	54663	80	10.6
1035	Alabama	Conecuh	18	22	22.8	65	38.6	19	32	3	0	54.9	42.79	1.17	1.14	18.03	12.7	23.45	28.4	17.41	13066	20	18.4
1037	Alabama	Coosa	26	13.4	21	50	26.4	NA	33	6	0	66.15	31	1.62	1.23	16.14	11.26	26.55	28.86	17.19	10814	0	14.7
1039	Alabama	Covington	21	17.5	15.5	65	40	28	34	12	8	84.28	12.98	1.05	1.69	18.29	11.96	24.38	26.32	19.05	36856	67	9.9
1041	Alabama	Crenshaw	27	17.6	18.8	75	40.5	NA	34	NA	0	71.9	25.23	1.35	1.52	18.76	12.66	25.61	26.51	16.47	13754	29	9.6
1043	Alabama	Cullman	20	13.3	13.4	70	46	25	30	7	6	93.04	1.66	3.78	1.53	18.89	12.15	27.69	25.64	15.63	81324	64	9.4
1045	Alabama	Dale	26	15.8	12.9	65	62.5	27	34	16	6	71.61	20.48	4.32	3.6	22.4	12.86	25.27	26.11	13.36	48292	57	8.8
1047	Alabama	Dallas	27	25	23.9	55	44.9	19	40	12	0	31	67.14	0.81	1.05	21.95	14.13	22.66	26.24	15.01	42867	50	19.7
1049	Alabama	DeKalb	21	15.1	18.1	65	39.4	20	32	11	7	85.72	1.86	10.23	2.19	20.65	11.25	28.42	25.08	14.6	68515	64	13.1
1051	Alabama	Elmore	19	12.5	13.3	70	49.7	23	29	11	6	74.2	21.78	1.93	2.09	20.27	13.8	29.95	24.44	11.55	78106	56	8.7
1053	Alabama	Escambia	24	18.6	18.6	70	41.9	24	34	6	8	61.87	31.96	1.43	4.74	18.85	13.24	26.96	26.29	14.66	37490	67	12.4
1055	Alabama	Etowah	21	15.7	14.1	70	56.1	28	31	14	8	80.67	14.61	2.94	1.78	18.94	12.29	26.16	26.47	16.14	103303	80	10.5
1057	Alabama	Fayette	31	16.1	16.6	70	43.9	20	32	4	0	85.41	12.39	1.12	1.07	17.23	12.51	25.37	27.21	17.66	17691	67	13.0
1059	Alabama	Franklin	24	17.4	19.5	70	39.5	NA	30	7	10	81.14	4.15	13.28	1.42	20.11	11.97	27.2	24.92	15.79	30801	57	12.4
1061	Alabama	Geneva	25	17.6	16.1	65	42.5	NA	32	10	4	85.14	10.52	2.56	1.78	17.79	11.83	25.6	27.74	17.04	25882	71	9.8
1063	Alabama	Greene	21	24.9	31.2	50	41.6	NA	44	NA	0	20.62	77.94	0.78	0.65	20.07	13.24	22.95	27.2	16.54	9172	25	13.5
1065	Alabama	Hale	25	20.6	25.7	65	34.7	NA	40	8	6	40.57	57.45	1.18	0.8	19.79	14.54	27.87	24.27	13.52	18145	80	12.8
1067	Alabama	Henry	19	16.3	18.1	50	46.3	20	34	4	6	66.36	30.31	2.36	0.98	18.5	11.86	25.94	27.04	16.66	16591	40	10.1
1069	Alabama	Houston	21	15.3	11.9	65	54.3	21	33	12	5	70.3	25.63	1.98	2.1	20.6	12.32	25.8	26.19	15.1	98488	50	8.5
1071	Alabama	Jackson	23	14.5	14.9	70	41.2	32	32	8	4	90.3	3.65	1.78	4.27	18.13	11.41	26.81	27.6	16.05	53134	47	11.7
